u,vT,vB,width,disp
3,0,1196,7,0
10,0,1138,7,0.372601
10,1140,1196,7,2.25
17,0,704,7,0.0368272
24,0,678,7,0.0334559
31,0,678,7,0.0807522
38,0,678,7,0.0264706
38,732,868,7,24.0291
45,0,678,7,0.0305147
45,730,768,7,19.2563
45,770,888,7,27.2675
52,0,678,7,0.024705
52,730,772,7,19.6023
52,774,888,7,27.3341
59,0,678,7,0.0704277
59,730,806,7,20.1419
59,808,888,7,27.4055
66,0,676,7,0.139552
66,716,728,7,10.125
66,730,808,7,20.4188
66,810,888,7,27.4656
73,0,674,7,0.353293
73,708,730,7,9.91667
73,732,810,7,19.5372
73,812,888,7,27.4679
80,0,678,7,0.107353
80,698,728,7,9.30469
80,730,758,7,13.8583
80,760,878,7,25.1864
87,0,682,7,0.124269
87,684,734,7,10.0048
87,736,760,7,15.5962
87,762,876,7,25.4634
94,0,670,7,0.0992537
94,678,730,7,10.0278
94,732,762,7,16.0083
94,764,878,7,25.3621
101,0,668,7,0.279167
101,670,726,7,10.0259
101,728,762,7,17.4722
101,764,880,7,25.9864
108,0,656,7,0.37073
108,658,670,7,6.69643
108,672,724,7,10.3611
108,726,764,7,18.4875
108,766,880,7,26.1918
115,0,650,7,0.13587
115,652,724,7,9.92361
115,726,760,7,18.4514
115,762,872,7,25.4576
122,0,644,7,0.110637
122,646,724,7,10.0844
122,726,802,7,20.3109
122,804,880,7,26.4071
129,0,642,7,0.163941
129,644,724,7,10.2439
129,726,804,7,19.4219
129,806,880,7,26.3882
136,0,640,7,0.325554
136,642,720,7,10.4531
136,722,806,7,19.4157
136,808,880,7,26.2466
143,0,640,7,0.484026
143,642,720,7,10.3844
143,722,758,7,17.9276
143,760,854,7,23.4089
150,0,640,7,0.167187
150,642,722,7,10.5274
150,724,804,7,19.439
150,806,872,7,25.3529
157,0,644,7,0.0395963
157,646,720,7,10.4375
157,722,794,7,19.25
157,796,862,7,24.4007
164,0,644,7,0.013587
164,646,696,7,8.80289
164,698,724,7,12.3571
164,726,848,7,21.4839
171,0,642,7,0.0144081
171,644,670,7,8.34821
171,672,722,7,11.3798
171,724,846,7,21.0847
178,0,642,7,0.0801887
178,644,698,7,9.20536
178,700,724,7,12.2692
178,726,846,7,21.1352
185,0,642,7,0.0732759
185,644,716,7,10.2399
185,718,792,7,18.4638
185,794,854,7,23.3952
192,0,642,7,0.148413
192,644,720,7,10.6026
192,722,832,7,20.4777
199,0,638,7,0.340873
199,640,718,7,10.4125
199,720,758,7,17.4
199,760,846,7,22.4688
206,0,638,7,0.362028
206,640,716,7,10.3173
206,718,752,7,16.4653
206,754,846,7,22.383
213,0,642,7,0.260188
213,644,712,7,10.2429
213,714,740,7,15.4018
213,742,840,7,21.4675
220,0,642,7,0.190063
220,644,712,7,10.2
220,714,752,7,16.3438
220,754,838,7,21.3256
227,0,640,7,0.274603
227,642,700,7,9.3875
227,702,748,7,15.0208
227,750,838,7,21.0944
234,0,642,7,0.375392
234,644,698,7,9.32589
234,700,738,7,14.2937
234,740,832,7,20.4734
241,0,638,7,0.396361
241,640,700,7,9.28879
241,702,746,7,15.0109
241,748,834,7,20.3068
248,0,640,7,0.259434
248,642,698,7,8.5819
248,700,744,7,14.4457
248,746,834,7,20.3139
255,0,638,7,0.42082
255,640,698,7,8.675
255,700,744,7,14.2391
255,746,830,7,20.25
262,0,634,7,0.397351
262,636,698,7,8.77344
262,700,742,7,14.2727
262,744,838,7,21.25
269,0,176,7,0.483766
269,178,280,7,1.13043
269,282,300,7,7.85
269,376,400,7,1.25
269,402,438,7,4.35526
269,634,694,7,8.39516
269,696,736,7,13.5119
269,738,830,7,20.4362
276,0,276,7,0.166016
276,278,300,7,7.96875
276,348,352,7,4.79167
276,378,388,7,4.91667
276,402,424,7,4.13542
276,636,696,7,8.31855
276,698,744,7,14.276
276,746,830,7,20.4477
283,0,274,7,0.19186
283,276,300,7,7.88462
283,344,350,7,7.84375
283,378,384,7,7.6875
283,386,400,7,1.79688
283,402,424,7,4.85417
283,618,654,7,4.74342
283,656,696,7,8.7619
283,698,738,7,13.8988
283,740,824,7,19.3895
290,0,274,7,0.352083
290,276,306,7,7.35156
290,308,394,7,0.9375
290,396,424,7,5.30833
290,618,696,7,5.99062
290,698,738,7,13.7857
290,740,824,7,19.2907
297,26,52,7,4.52885
297,54,214,7,1.25
297,216,230,7,4.82812
297,232,274,7,1.18421
297,276,308,7,7.01471
297,310,342,7,1.41964
297,344,384,7,4.69375
297,402,424,7,5.52083
297,618,696,7,5.63125
297,698,738,7,14.0298
297,740,822,7,19.2589
304,0,38,7,0.322368
304,40,52,7,6.96429
304,54,128,7,2.20968
304,210,232,7,4.52083
304,276,306,7,7.375
304,308,376,7,3.22059
304,378,388,7,6.58333
304,402,426,7,5.78846
304,626,696,7,4.46528
304,698,736,7,14.4937
304,738,822,7,19.0407
311,0,36,7,0.948529
311,38,46,7,7.425
311,48,88,7,4.20395
311,90,206,7,1.09318
311,208,228,7,4.23864
311,230,276,7,1.125
311,278,328,7,6.67788
311,330,342,7,1.05357
311,344,388,7,5.78804
311,390,400,7,1.075
311,402,426,7,5.73077
311,618,696,7,3.28125
311,698,740,7,15.1136
311,742,824,7,19.3304
318,2,28,7,2.30769
318,44,82,7,5.42105
318,84,116,7,1.79167
318,118,124,7,6.8125
318,126,274,7,1.20404
318,276,326,7,6.64904
318,328,372,7,3.30435
318,374,386,7,8.16071
318,388,440,7,4.47222
318,626,696,7,2.11806
318,698,820,7,18.0685
325,16,26,7,4.95833
325,50,90,7,5.96875
325,92,276,7,1.16912
325,278,304,7,7.375
325,306,440,7,5.31985
325,630,696,7,1.97059
325,698,820,7,17.9919
332,6,28,7,3.01042
332,58,98,7,4.47024
332,100,276,7,1.14118
332,278,442,7,4.75301
332,634,696,7,1.99219
332,698,820,7,17.9657
339,4,52,7,2.33152
339,68,98,7,3.92969
339,100,276,7,1.18023
339,278,304,7,5.94643
339,306,440,7,3.86174
339,634,694,7,1.93952
339,700,818,7,17.9167
346,0,72,7,1.35069
346,74,92,7,4.55
346,94,276,7,1.00412
346,278,390,7,4.89254
346,402,428,7,5.46429
346,630,698,7,2.14286
346,700,818,7,18.0083
353,18,120,7,3.37745
353,122,274,7,0.9
353,276,428,7,4.91071
353,632,698,7,2.09191
353,700,816,7,17.9301
360,22,80,7,2.30357
360,82,126,7,4.7337
360,128,276,7,0.669643
360,278,388,7,5.33036
360,390,400,7,1.14583
360,402,424,7,5.84375
360,632,698,7,2.25
360,700,816,7,17.9725
367,16,130,7,3.22545
367,132,276,7,0.989437
367,278,388,7,4.91518
367,390,442,7,3.43981
367,630,698,7,2.08571
367,700,814,7,17.7845
374,10,128,7,2.48093
374,130,276,7,0.8625
374,278,440,7,3.9314
374,630,694,7,2.0303
374,700,810,7,17.4375
381,2,146,7,2.39286
381,148,276,7,1.02586
381,278,390,7,4.14693
381,392,444,7,2.49074
381,634,694,7,2.05242
381,700,730,7,13.7969
381,732,812,7,18.2835
388,0,92,7,3.01111
388,94,112,7,1.05556
388,114,128,7,6.75
388,130,228,7,1.94149
388,278,390,7,4.47588
388,392,452,7,2.48214
388,636,690,7,2.04018
388,696,730,7,14.0278
388,732,812,7,18.1067
395,0,16,7,0.821429
395,18,116,7,3.2602
395,118,134,7,6.68056
395,136,276,7,1.19403
395,278,442,7,4.12801
395,630,694,7,2.27652
395,696,730,7,13.9444
395,732,812,7,18.0244
402,10,166,7,2.43993
402,168,276,7,0.802885
402,278,442,7,3.5994
402,642,696,7,3.01339
402,698,724,7,13.1875
402,726,810,7,17.4797
409,10,230,7,2.16827
409,278,442,7,3.30793
409,642,694,7,3.69444
409,696,726,7,11.9922
409,728,810,7,17.2649
416,0,276,7,1.25547
416,278,440,7,2.79063
416,642,698,7,4.25862
416,700,726,7,11.9643
416,728,810,7,17.244
423,0,276,7,0.935662
423,278,442,7,2.32831
423,642,698,7,4.65086
423,700,726,7,12.0089
423,728,810,7,16.9911
430,0,42,7,0.471591
430,44,276,7,0.807018
430,278,438,7,2.04905
430,642,690,7,4.32
430,692,726,7,10.75
430,728,810,7,16.9256
437,0,354,7,1.48635
437,356,442,7,2.86648
437,642,684,7,3.98864
437,686,702,7,7.63889
437,704,724,7,11.7159
437,726,798,7,16.4764
444,0,72,7,0.431818
444,74,352,7,0.915468
444,354,432,7,2.25
444,642,692,7,4.3125
444,694,724,7,10.7188
444,726,804,7,16.4375
451,0,646,7,0.402174
451,648,682,7,3.13889
451,684,702,7,7.65
451,704,726,7,12.0104
451,728,804,7,16.1891
458,0,670,7,0.5
458,684,704,7,7.89773
458,706,788,7,14.4226
465,0,654,7,0.480263
465,656,682,7,2.28571
465,684,704,7,8.13636
465,706,788,7,14.4315
472,0,646,7,0.453822
472,648,682,7,2.09028
472,684,720,7,9.76974
472,722,800,7,15.1313
479,0,206,7,0.375
479,208,230,7,3.4375
479,278,300,7,3.17708
479,648,682,7,2.15278
479,684,718,7,9.29861
479,720,798,7,15.0406
486,0,210,7,0.401442
486,212,230,7,3.375
486,232,680,7,0.730293
486,682,718,7,9.0329
486,720,800,7,14.9299
493,0,680,7,0.411364
493,682,718,7,8.94737
493,720,800,7,14.939
500,0,104,7,0.482843
500,106,682,7,0.78853
500,684,716,7,9.10294
500,718,788,7,14.4896
507,0,670,7,0.461806
507,690,718,7,9.34167
507,720,790,7,14.3576
514,0,670,7,0.440152
514,694,718,7,9.42308
514,720,792,7,14.2331
521,0,670,7,0.454755
521,694,716,7,9.41667
521,718,790,7,13.9426
528,0,62,7,0.451613
528,64,680,7,0.817114
528,694,716,7,9.29167
528,718,792,7,13.9112
535,0,62,7,0.183594
535,64,680,7,0.854651
535,682,698,7,6.22222
535,700,716,7,9.98611
535,718,782,7,13.4886
542,0,136,7,1.2225
542,138,232,7,2.76902
542,282,294,7,8.875
542,296,452,7,3.40577
542,648,678,7,2.27344
542,680,704,7,6.93269
542,706,784,7,12.9563
549,0,74,7,0.195312
549,76,92,7,5.70833
549,284,288,7,9.79167
549,290,376,7,2.34766
549,378,382,7,9.16667
549,384,436,7,1.44737
549,438,456,7,6.0125
549,668,694,7,4.85714
549,696,714,7,9.3625
549,716,784,7,13.3071
556,0,354,7,0.393895
556,356,386,7,5.40179
556,646,672,7,2.25
556,674,698,7,5.90385
556,700,774,7,12.2796
563,0,356,7,0.494853
563,358,366,7,5.55
563,646,672,7,2.26786
563,674,698,7,6.18269
563,700,774,7,12.2039
570,0,56,7,0.477679
570,58,188,7,1.80664
570,292,442,7,3.09615
570,670,698,7,5.9
570,700,776,7,11.9808
577,0,100,7,1.46429
577,102,128,7,4.08654
577,130,300,7,1.1491
577,302,454,7,3.48611
577,670,708,7,6.6375
577,710,778,7,12.1464
584,0,38,7,1.19853
584,40,108,7,3.13889
584,110,128,7,6.625
584,130,314,7,1.43391
584,316,364,7,5.84524
584,366,374,7,0.8125
584,376,396,7,9.9625
584,398,424,7,5.49107
584,668,708,7,6.66071
584,710,776,7,12.0331
591,0,112,7,1.96591
591,114,134,7,5.71591
591,284,286,7,11.75
591,288,302,7,3.65625
591,318,360,7,6.77841
591,362,374,7,0.854167
591,376,416,7,7.90476
591,418,452,7,3.78125
591,668,702,7,6.125
591,704,768,7,11.322
598,0,74,7,0.405405
598,76,146,7,2.5
598,288,324,7,1.67188
598,326,424,7,5.21739
598,426,436,7,1.22917
598,438,454,7,6.25
598,670,708,7,6.61875
598,710,776,7,11.6544
605,0,330,7,1.125
605,332,346,7,7.20312
605,358,424,7,5.33333
605,670,704,7,6.375
605,706,770,7,11.3485
612,0,28,7,4.01667
612,30,60,7,1.42188
612,62,122,7,4.9
612,124,166,7,2.9881
612,168,282,7,1.25
612,284,452,7,5.80222
612,648,678,7,2.38281
612,680,706,7,6.97321
612,708,770,7,11.2539
619,0,128,7,5.05577
619,130,188,7,2.3625
619,216,230,7,3.9375
619,282,432,7,6.53425
619,434,454,7,10.1625
619,648,684,7,2.30921
619,686,706,7,7.30682
619,708,770,7,11.1562
626,0,26,7,4.50893
626,28,128,7,2.44118
626,282,322,7,5.33333
626,324,336,7,0.791667
626,338,432,7,6.89062
626,434,452,7,9.88889
626,642,686,7,2.16848
626,688,708,7,7.69318
626,710,770,7,11.1613
633,0,336,7,0.827273
633,338,444,7,4.45098
633,642,688,7,2.29167
633,690,756,7,9.89706
640,18,74,7,1.90948
640,326,456,7,3.7822
640,644,688,7,2.21739
640,690,756,7,9.70956
647,0,128,7,3.38654
647,130,278,7,0.695946
647,280,300,7,5.93182
647,302,314,7,1.45833
647,316,426,7,5.21429
647,428,436,7,0.975
647,438,456,7,5.825
647,648,688,7,2.2619
647,690,750,7,9.35081
654,0,126,7,3.79563
654,128,278,7,0.811667
654,280,294,7,7.375
654,296,320,7,3.13462
654,322,458,7,5.86594
654,648,688,7,2.27381
654,690,752,7,9.21094
661,0,92,7,4.19947
661,94,276,7,1.25
661,278,442,7,5.36596
661,444,458,7,8.57812
661,648,684,7,2.18421
661,686,702,7,6.13889
661,704,760,7,9.77586
668,0,104,7,4.73585
668,106,276,7,1.01698
668,278,458,7,6.32555
668,648,686,7,2.3875
668,688,740,7,8.22685
675,0,96,7,4.125
675,98,278,7,0.770833
675,280,390,7,4.91964
675,392,402,7,10.2083
675,404,456,7,5.55769
675,670,698,7,4.30833
675,700,752,7,8.91667
682,0,94,7,3.73438
682,280,456,7,5.17135
682,652,686,7,2.5
682,688,740,7,7.91204
689,0,90,7,3.19565
689,282,286,7,9.20833
689,288,454,7,4.2622
689,658,684,7,2.40179
689,686,742,7,7.88362
696,0,84,7,2.94477
696,284,456,7,4.21988
696,658,684,7,2.44643
696,686,744,7,7.84167
703,0,90,7,3.28261
703,286,458,7,4.5
703,644,684,7,2.08929
703,686,744,7,7.76667
710,0,96,7,4.05102
710,98,276,7,0.933989
710,278,426,7,5.21655
710,440,458,7,5.9125
710,646,684,7,2.125
710,686,744,7,7.75417
717,0,92,7,3.63859
717,278,296,7,7.1125
717,298,312,7,2.375
717,314,424,7,6.13915
717,440,456,7,7.90625
717,634,684,7,2.07692
717,686,744,7,7.67083
724,0,52,7,3.62037
724,54,126,7,2.20946
724,278,296,7,7.3
724,298,322,7,2.53125
724,324,424,7,5.59115
724,426,442,7,1.48214
724,444,458,7,8.59375
724,624,688,7,2.14773
724,690,744,7,7.63839
731,0,126,7,2.22421
731,278,424,7,4.35507
731,426,442,7,1.29167
731,444,450,7,8.40625
731,634,686,7,2.36574
731,688,736,7,7.115
738,0,126,7,2.63294
738,280,286,7,9.15625
738,288,448,7,3.81579
738,630,688,7,3.65417
738,690,736,7,7.15104
745,0,126,7,2.90524
745,276,480,7,3.66927
745,630,690,7,4.12903
745,692,736,7,7.04891
752,0,96,7,2.41223
752,278,464,7,4.1092
752,632,714,7,4.81548
759,2,96,7,2.98333
759,98,280,7,0.69382
759,282,302,7,7.04545
759,304,424,7,4.44643
759,426,438,7,1.175
759,440,458,7,7.7125
759,636,716,7,4.83537
766,0,92,7,2.79348
766,94,280,7,1.06183
766,282,304,7,7.4375
766,306,440,7,4.35913
766,442,460,7,7.15278
766,634,688,7,3.84821
766,690,728,7,6.2
773,0,92,7,1.89205
773,278,296,7,7.725
773,298,392,7,3.875
773,394,402,7,9.025
773,404,440,7,3.02083
773,442,458,7,7.70833
773,648,718,7,4.97917
780,0,276,7,0.817164
780,278,288,7,8.70833
780,290,456,7,3.99359
780,648,684,7,3.25658
780,686,728,7,6.00568
787,0,278,7,0.593284
787,280,286,7,10.2812
787,288,462,7,3.00305
787,666,718,7,5
794,0,282,7,0.685219
794,284,464,7,2.82471
794,670,718,7,4.925
801,0,282,7,0.486607
801,284,376,7,3.12778
801,396,424,7,5.76786
801,656,680,7,2.20192
801,682,728,7,5.66146
808,0,112,7,0.395833
808,114,120,7,5.59375
808,282,364,7,3.62162
808,366,392,7,1.3125
808,394,422,7,8.14423
808,652,682,7,2.15625
808,684,728,7,5.51087
815,0,280,7,0.450893
815,282,296,7,5.84375
815,298,350,7,2.25
815,352,356,7,8.70833
815,358,392,7,1.25833
815,394,422,7,8.33333
815,652,684,7,2.19118
822,0,280,7,0.254529
822,282,294,7,7.64286
822,296,350,7,1.35119
822,352,362,7,9.34375
822,364,388,7,1.45455
822,390,400,7,10.7812
822,402,438,7,1.76786
822,440,456,7,5.91667
822,652,686,7,2.26389
829,0,84,7,0.456395
829,86,386,7,1.36866
829,388,400,7,8.98214
829,414,456,7,2.55952
829,650,688,7,2.24375
836,14,26,7,3.14286
836,78,92,7,4.34375
836,122,206,7,1.47561
836,208,230,7,4.875
836,284,286,7,9.3125
836,288,368,7,2.89286
836,370,400,7,7.9375
836,402,460,7,3.20536
836,650,690,7,2.20833
843,0,82,7,0.140244
843,84,92,7,4.6
843,94,206,7,1.01818
843,208,228,7,5.60227
843,284,294,7,4.77083
843,296,354,7,1.39773
843,356,400,7,8.13043
843,402,412,7,1.8125
843,414,424,7,6.47917
843,442,458,7,5.93056
843,650,692,7,2.16477
850,0,70,7,0.388889
850,72,350,7,1.3877
850,352,424,7,5.21528
850,442,460,7,4.65
850,650,694,7,2.1413
857,0,110,7,0.339623
857,112,350,7,1.28728
857,352,362,7,8.4375
857,364,386,7,1.14773
857,388,424,7,4.24265
857,638,686,7,1.49
864,0,44,7,0.465909
864,46,350,7,1.89583
864,352,362,7,9.89583
864,364,394,7,2.34167
864,396,404,7,10.5
864,406,460,7,2.84375
864,636,686,7,1.46154
871,2,32,7,2.175
871,44,66,7,4.97727
871,68,110,7,2.32955
871,112,242,7,3.91856
871,244,280,7,1.26974
871,282,294,7,7.01786
871,296,328,7,2.20833
871,330,364,7,7.74107
871,366,386,7,3.32955
871,388,420,7,9.34615
871,422,462,7,3.7381
871,660,694,7,2.30556
878,12,236,7,4.13462
878,238,278,7,1.175
878,280,300,7,7.14773
878,302,328,7,2.34821
878,330,362,7,8.20833
878,364,380,7,3.65278
878,382,422,7,9.16667
878,424,460,7,4.92763
878,660,702,7,2.82955
885,16,232,7,3.38208
885,278,328,7,3.77404
885,330,400,7,6.61667
885,402,462,7,4.86161
885,660,702,7,3.03409
892,22,30,7,4.45
892,76,88,7,3.82143
892,106,124,7,4.2125
892,126,206,7,1.43421
892,208,228,7,3.56818
892,278,350,7,2.88971
892,352,380,7,5.25833
892,386,400,7,8.5
892,402,460,7,4.57407
892,662,702,7,3.19643
899,0,276,7,1.36852
899,278,460,7,3.46037
899,666,702,7,3.21053
906,2,22,7,3.1125
906,24,78,7,0.975
906,80,230,7,2.74167
906,282,356,7,4.21071
906,358,362,7,12.9583
906,364,392,7,2.39286
906,394,400,7,8.84375
906,402,460,7,3.74038
906,664,702,7,2.78125
913,0,26,7,3.25
913,46,228,7,2.35989
913,282,356,7,3.81985
913,358,362,7,10.875
913,364,460,7,3.27083
913,654,694,7,2.15476
920,0,28,7,4.00833
920,48,92,7,3.94318
920,94,220,7,2.08065
920,278,304,7,6.57143
920,306,324,7,1.8875
920,326,464,7,4.15192
920,652,694,7,2.09091
927,0,30,7,4.35
927,32,56,7,1.48438
927,58,92,7,5.81618
927,94,186,7,2.91667
927,188,276,7,1.3125
927,278,364,7,5.85
927,366,384,7,2.3
927,386,400,7,8.03125
927,402,452,7,3.25
927,454,464,7,6.52083
927,642,694,7,2.16667
934,0,128,7,4.66071
934,130,276,7,2.19178
934,278,296,7,8.3375
934,298,424,7,5.17373
934,426,478,7,2.47685
934,640,692,7,2.33333
941,24,128,7,2.77557
941,278,286,7,8.3
941,288,376,7,3.29545
941,396,402,7,8.6875
941,642,702,7,2.91935
948,20,58,7,3.84211
948,60,78,7,0.7875
948,80,124,7,3.34239
948,126,276,7,0.886667
948,278,366,7,4.21667
948,368,426,7,1.9537
948,642,702,7,3.0121
955,16,120,7,3.35784
955,122,278,7,1.02703
955,280,372,7,4.28457
955,644,702,7,3.07083
962,22,104,7,3.1875
962,106,278,7,0.724702
962,280,364,7,3.63415
962,644,702,7,3.0625
969,14,130,7,3.17888
969,132,278,7,1.16781
969,280,362,7,4.49702
969,642,686,7,2.32609
976,14,60,7,2.42935
976,62,90,7,5
976,92,280,7,0.936842
976,282,294,7,7.95833
976,296,372,7,3.80769
976,636,674,7,1.48125
983,0,56,7,1.40625
983,58,90,7,5.55882
983,92,276,7,0.872283
983,278,296,7,7.3
983,298,356,7,3.45833
983,358,364,7,8.625
983,366,402,7,2.01974
983,546,582,7,3.375
983,636,676,7,1.47024
990,0,60,7,0.931035
990,62,84,7,5.33333
990,86,126,7,1.65476
990,278,286,7,6.475
990,288,380,7,3.10054
990,548,582,7,3.51389
990,644,694,7,2.11058
997,0,42,7,2.32639
997,44,106,7,5.78333
997,108,206,7,1.21939
997,208,228,7,4.20455
997,278,296,7,7.2625
997,298,398,7,4.39031
997,544,586,7,3.625
997,644,694,7,2.05769
1004,0,56,7,1.21
1004,58,64,7,8.375
